uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,1250.9011452645589
U02,M002,0.0,1250.9011452645589
U03,M003,0.0,1250.9011452645589
U05,M004,0.0,1555.376902446339
U06,M005,1869.7522046190134,3792.4867605890963
U07,M006,1561.5595359403524,3121.7299278193173
U08,M007,0.0,2107.812018638708
U05,M008,1555.3769124463145,3065.8471927392593
U08,M009,2107.8120286386984,4719.097781152087
U06,M010,0.0,1869.7521946190163
U07,M011,0.0,1561.5595259403467
U05,M012,3065.847202739259,4967.689509906303
U07,M013,3121.7299378192984,4998.92509601484
U06,M014,5754.32908775614,7714.872186032023
U08,M015,4719.097791152088,7221.208935489168
U05,M016,4967.689519906303,6724.383453828214
U07,M017,4998.925106014824,7299.986172607987
U06,M018,3792.4867705890965,5754.329077756141
U05,M019,8024.252182488577,9212.675832600178
U06,M020,7714.872196032023,9273.314443426432
U05,M021,6724.383463828214,7873.484985671372
