question,candidate,baseline,dominates
Q2,XB01,P01,True
Q2,XB01,P02,True
Q2,XB01,P03,True
Q2,XB02,P01,True
Q2,XB02,P02,True
Q2,XB02,P03,True
Q3,XB01_Q3_001,Q3E7_001,True
Q3,XB01_Q3_001,Q3E7_002,True
Q3,XB01_Q3_001,Q3E7_003,True
Q3,XB01_Q3_001,Q3E7_004,True
Q3,XB01_Q3_001,Q3E7_005,True
Q3,XB01_Q3_001,Q3E7_006,True
Q3,XB01_Q3_001,Q3E7_007,True
Q3,XB01_Q3_001,Q3E7_008,True
Q3,XB01_Q3_002,Q3E7_001,True
Q3,XB01_Q3_002,Q3E7_002,True
Q3,XB01_Q3_002,Q3E7_003,True
Q3,XB01_Q3_002,Q3E7_004,True
Q3,XB01_Q3_002,Q3E7_005,True
Q3,XB01_Q3_002,Q3E7_006,True
Q3,XB01_Q3_002,Q3E7_007,True
Q3,XB01_Q3_002,Q3E7_008,True
Q3,XB01_Q3_003,Q3E7_001,True
Q3,XB01_Q3_003,Q3E7_002,True
Q3,XB01_Q3_003,Q3E7_003,True
Q3,XB01_Q3_003,Q3E7_004,True
Q3,XB01_Q3_003,Q3E7_005,True
Q3,XB01_Q3_003,Q3E7_006,True
Q3,XB01_Q3_003,Q3E7_007,True
Q3,XB01_Q3_003,Q3E7_008,True
Q3,XB01_Q3_004,Q3E7_001,True
Q3,XB01_Q3_004,Q3E7_002,True
Q3,XB01_Q3_004,Q3E7_003,True
Q3,XB01_Q3_004,Q3E7_004,True
Q3,XB01_Q3_004,Q3E7_005,True
Q3,XB01_Q3_004,Q3E7_006,True
Q3,XB01_Q3_004,Q3E7_007,True
Q3,XB01_Q3_004,Q3E7_008,True
Q3,XB01_Q3_005,Q3E7_001,True
Q3,XB01_Q3_005,Q3E7_002,True
Q3,XB01_Q3_005,Q3E7_003,True
Q3,XB01_Q3_005,Q3E7_004,True
Q3,XB01_Q3_005,Q3E7_005,True
Q3,XB01_Q3_005,Q3E7_006,True
Q3,XB01_Q3_005,Q3E7_007,True
Q3,XB01_Q3_005,Q3E7_008,True
Q3,XB02_Q3_001,Q3E7_001,True
Q3,XB02_Q3_001,Q3E7_002,True
Q3,XB02_Q3_001,Q3E7_003,True
Q3,XB02_Q3_001,Q3E7_004,True
Q3,XB02_Q3_001,Q3E7_005,True
Q3,XB02_Q3_001,Q3E7_006,True
Q3,XB02_Q3_001,Q3E7_007,True
Q3,XB02_Q3_001,Q3E7_008,True
Q3,XB02_Q3_002,Q3E7_001,True
Q3,XB02_Q3_002,Q3E7_002,True
Q3,XB02_Q3_002,Q3E7_003,True
Q3,XB02_Q3_002,Q3E7_004,True
Q3,XB02_Q3_002,Q3E7_005,True
Q3,XB02_Q3_002,Q3E7_006,True
Q3,XB02_Q3_002,Q3E7_007,True
Q3,XB02_Q3_002,Q3E7_008,True
Q3,XB02_Q3_003,Q3E7_001,False
Q3,XB02_Q3_003,Q3E7_002,False
Q3,XB02_Q3_003,Q3E7_003,False
Q3,XB02_Q3_003,Q3E7_004,False
Q3,XB02_Q3_003,Q3E7_005,False
Q3,XB02_Q3_003,Q3E7_006,False
Q3,XB02_Q3_003,Q3E7_007,False
Q3,XB02_Q3_003,Q3E7_008,False
Q3,XB02_Q3_004,Q3E7_001,False
Q3,XB02_Q3_004,Q3E7_002,False
Q3,XB02_Q3_004,Q3E7_003,False
Q3,XB02_Q3_004,Q3E7_004,False
Q3,XB02_Q3_004,Q3E7_005,False
Q3,XB02_Q3_004,Q3E7_006,False
Q3,XB02_Q3_004,Q3E7_007,False
Q3,XB02_Q3_004,Q3E7_008,False
