uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,1250.9011452645589
U03,M002,1761.3504775325064,3012.2516227970655
U02,M003,0.0,1712.55936238718
U01,M004,1250.901146264559,2501.802291529118
U05,M005,0.0,1507.8256880077884
U05,M006,2103.5565478627886,3973.308742481805
U07,M007,0.0,1626.170391878965
U07,M008,1626.170392878965,3187.729918819312
U04,M009,0.0,1943.7375242139124
U03,M010,0.0,1712.5593623871803
U06,M011,0.0,1921.353423971385
U07,M012,4106.485824801583,6523.9199366679595
U08,M013,0.0,2173.812018638708
U06,M014,2154.6815478627886,3710.0584503091277
U02,M015,1712.5593633871804,2903.4605086517395
U04,M016,4235.284172922637,5887.843535309817
U02,M017,4799.352956071864,7046.788655495493
U01,M018,4246.127922922637,6357.274051713799
U06,M019,4919.807107505509,6478.249354899917
U05,M020,4828.584551296448,6655.509862204919
U08,M021,4740.350769457746,7445.817567860344
U08,M022,2256.616417525217,4557.677484118381
U06,M023,6478.249355899918,7994.424217871501
U06,M024,3710.0584513091276,4895.530103536614
