atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
XB01_M003_G00,XB01_M003_G00,XB01,M003,3277.15625,3702.625,425.46875,0.0,2.0
XB01_M005_G00,XB01_M005_G00,XB01,M005,2610.84375,3008.5,397.65625,0.0,2.0
XB01_M006_G00,XB01_M006_G00,XB01,M006,804.8125,1423.96875,619.15625,0.0,2.0
XB01_M009_G00,XB01_M009_G00,XB01,M009,2828.96875,3654.96875,826.0,0.0,2.0
XB01_M010_G00,XB01_M010_G00,XB01,M010,2572.40625,2997.90625,425.5,0.0,2.0
XB01_M011_G00,XB01_M011_G00,XB01,M011,2301.40625,3101.71875,800.3125,0.0,2.0
XB01_M012_G00,XB01_M012_G00,XB01,M012,2536.03125,3571.375,1035.34375,0.0,2.0
XB01_M013_G00,XB01_M013_G00,XB01,M013,2405.59375,3383.21875,977.625,0.0,2.0
XB01_M014_G00,XB01_M014_G00,XB01,M014,753.6875,1171.15625,417.46875,0.0,2.0
XB01_M016_G00,XB01_M016_G00,XB01,M016,781.0625,1176.5625,395.5,0.0,2.0
XB01_M017_G00,XB01_M017_G00,XB01,M017,4989.78125,5914.59375,924.8125,0.0,2.0
XB01_M018_G00,XB01_M018_G00,XB01,M018,770.21875,1654.59375,884.375,0.0,2.0
XB01_M019_G00,XB01_M019_G00,XB01,M019,4084.3125,4608.25,523.9375,0.0,2.0
XB01_M020_G00,XB01_M020_G00,XB01,M020,4274.6875,4866.15625,591.46875,0.0,2.0
XB01_M021_G00,XB01_M021_G00,XB01,M021,4621.5625,4646.90625,25.34375,0.0,2.0
XB01_M021_G01,XB01_M021_G01,XB01,M021,4654.40625,5168.21875,513.8125,0.0,2.0
XB01_M021_G02,XB01_M021_G02,XB01,M021,5196.78125,6031.84375,835.0625,0.0,2.0
XB01_M022_G00,XB01_M022_G00,XB01,M022,4998.375,5842.84375,844.46875,0.0,2.0
XB01_M023_G00,XB01_M023_G00,XB01,M023,5628.96875,5654.28125,25.3125,0.0,2.0
XB01_M023_G01,XB01_M023_G01,XB01,M023,5661.8125,6073.15625,411.34375,0.0,2.0
XB01_M023_G02,XB01_M023_G02,XB01,M023,6080.65625,6106.0,25.34375,0.0,2.0
