atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
XB02_M004_G00,XB02_M004_G00,M004,2675.040924971385,3092.509674971385,XB02_Q3_003_R002,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,14.97253526452974,2.099203328999508,2.099203328999508
XB02_M007_G00,XB02_M007_G00,M007,856.4137293523685,1798.0387293523686,XB02_Q3_003_R002,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,1.2735129256524829,2.099203328999508,1.2735129256524829
XB02_M008_G00,XB02_M008_G00,M008,2662.4452625250706,3060.1015125250706,XB02_Q3_003_R002,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,13.764251579889375,2.099203328999508,2.099203328999508
XB02_M010_G00,XB02_M010_G00,M010,856.4137293523685,1475.5699793523686,XB02_Q3_003_R002,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,8.748145591440831,2.099203328999508,2.099203328999508
XB02_M009_G00,XB02_M009_G00,M009,3121.7249276189946,4290.881177618994,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,7.0271077106653195,11.397135806608844,7.0271077106653195
XB02_M012_G00,XB02_M012_G00,M012,5913.9829384469995,6703.2641884469995,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
XB02_M013_G00,XB02_M013_G00,M013,6018.2954384469995,6043.6391884469995,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076474326768889,11.397135806608844,8.076474326768889
XB02_M013_G01,XB02_M013_G01,M013,6051.1704384469995,6670.4204384469995,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
XB02_M013_G02,XB02_M013_G02,M013,6677.9204384469995,6703.2641884469995,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076518673303497,11.397135806608844,8.076518673303497
XB02_M015_G00,XB02_M015_G00,M015,4061.5971127981074,5132.940862798107,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875
XB02_M016_G00,XB02_M016_G00,M016,4111.102936358058,4851.852936358058,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,0.6230836731091074,11.397135806608844,0.6230836731091074
XB02_M018_G00,XB02_M018_G00,M018,5884.0141884469995,6703.2641884469995,XB02_Q3_003_R003,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
XB02_M005_G00,XB02_M005_G00,M005,746.0290453809866,1546.3415453809866,XB02_Q3_003_R001,R01,E52_060143e4033ea7dfc142ce26,TRANSPORT_RELAY_G01,1,6.23446973686174,13.051384290227645,6.23446973686174
XB02_M014_G00,XB02_M014_G00,M014,8781.565585441667,9565.409335441667,XB02_Q3_003_R005,R01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,3.0205906267075733,16.45726286038159,3.0205906267075733
XB02_M020_G00,XB02_M020_G00,M020,8781.565585441667,9305.503085441667,XB02_Q3_003_R005,R01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,0.8951419926504371,16.45726286038159,0.8951419926504371
XB02_M017_G00,XB02_M017_G00,M017,6559.926426670865,7404.395176670865,XB02_Q3_003_R004,R02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
