battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-04,M001,360.0,1250.9011452645589,1.2823246082352031
BAT-A-05,M002,1610.9011552645534,2501.8023005291125,1.2823246082352031
BAT-A-04,M003,2826.08031880641,4178.63968119359,1.964671968666427
BAT-A-02,M004,2861.8023105291068,3752.703455793666,1.2823246082352031
BAT-B-04,M005,2259.7522046190134,3377.5778926268017,1.8236608502154463
BAT-B-02,M006,390.0,1869.7521946190163,2.1403030047614893
BAT-C-02,M007,540.0,1626.170391878965,2.846124929826203
BAT-C-01,M008,480.0,1561.5595259403467,2.5979763856932365
BAT-A-01,M009,2441.1461387911695,4054.883663005082,2.8714039850244966
BAT-A-06,M010,2121.350486532495,3473.909848919675,1.8992860694082216
BAT-B-03,M011,1945.3769124463433,3476.7303364177283,2.751802210444904
BAT-C-04,M012,2106.170401878946,4043.604513745323,6.197524961333519
BAT-C-03,M013,2071.5595359403233,3735.3715545790315,6.280782227150773
BAT-B-01,M014,390.0,1555.376902446339,1.8231457316476736
BAT-A-01,M015,330.0,1190.9011452645589,1.2195056111647737
BAT-A-02,M016,330.0,1652.55936238718,1.8002714419366384
BAT-A-05,M017,4522.59250119314,6410.028200616769,2.9582110215244475
BAT-A-03,M018,330.0,2111.146128791162,3.146461435490872
BAT-B-01,M019,3767.5779026267846,4936.020150021193,2.096210537071622
BAT-B-02,M020,3866.730346417724,5303.655657326195,2.3068796937944342
BAT-C-01,M021,4275.371564579022,6440.83836298162,6.32057051599781
BAT-C-02,M022,4523.604523745307,6344.665590338471,6.152897007997176
BAT-B-04,M023,5296.020160021188,6452.195021992771,2.086114700804694
BAT-B-03,M024,5693.65566732618,6489.127319553667,1.0727533991468021
